GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,BL1AA,BL1AB,BL1AC,BL1AD,BL1AE,BL1AF,BL1AG,BL1AH,BL1AI,BL1AJ,BL1AK,BL1AL,BL1AAM,BL1ABM,BL1ACM,BL1ADM,BL1AEM,BL1AFM,BL1AGM,BL1AHM,BL1AIM,BL1AJM,BL1AKM,BL1ALM
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Male ~ Never married,Persons: Male ~ Now married,Persons: Male ~ Now married--Not separated,Persons: Male ~ Now married--Separated,Persons: Male ~ Widowed,Persons: Male ~ Divorced,Persons: Female ~ Never married,Persons: Female ~ Now married,Persons: Female ~ Now married--Not separated,Persons: Female ~ Now married--Separated,Persons: Female ~ Widowed,Persons: Female ~ Divorced,Margin of error: Persons: Male ~ Never married,Margin of error: Persons: Male ~ Now married,Margin of error: Persons: Male ~ Now married--Not separated,Margin of error: Persons: Male ~ Now married--Separated,Margin of error: Persons: Male ~ Widowed,Margin of error: Persons: Male ~ Divorced,Margin of error: Persons: Female ~ Never married,Margin of error: Persons: Female ~ Now married,Margin of error: Persons: Female ~ Now married--Not separated,Margin of error: Persons: Female ~ Now married--Separated,Margin of error: Persons: Female ~ Widowed,Margin of error: Persons: Female ~ Divorced
"G500","1980","Vermont","50","500","VERMONT",60222,114504,111352,3152,4717,9720,52757,115288,111316,3972,24596,13149,,,,,,,,,,,,
"G510","1980","Virginia","51","510","VIRGINIA",616078,1260462,1203226,57236,45274,94038,500476,1267941,1193511,74430,250934,132354,,,,,,,,,,,,
"G530","1980","Washington","53","530","WASHINGTON",461462,972404,947501,24903,31891,113269,340434,971916,940250,31666,168394,148257,,,,,,,,,,,,
"G540","1980","West Virginia","54","540","WEST VIRGINIA",182688,472347,464290,8057,20608,35674,146298,473791,463515,10276,114928,47436,,,,,,,,,,,,
"G550","1980","Wisconsin","55","550","WISCONSIN",549178,1077034,1058257,18777,45889,77738,463889,1082584,1056276,26308,221882,103582,,,,,,,,,,,,
"G560","1980","Wyoming","56","560","WYOMING",49678,113546,111835,1711,3028,11988,30582,112333,110607,1726,15235,11901,,,,,,,,,,,,
"G010","1990","Alabama","01","010","Alabama",406140,925748,898827,26921,40619,115510,348728,933898,892817,41081,235648,158001,,,,,,,,,,,,
"G020","1990","Alaska","02","020","Alaska",67827,119985,115839,4146,2541,22187,40938,115317,110862,4455,9082,22354,,,,,,,,,,,,
"G040","1990","Arizona","04","040","Arizona",409976,817459,792947,24512,32270,125206,313652,816198,783685,32513,150231,167280,,,,,,,,,,,,
"G050","1990","Arkansas","05","050","Arkansas",209851,563189,548531,14658,24977,70529,169510,566806,546208,20598,139365,90683,,,,,,,,,,,,
"G060","1990","California","06","060","California",4034185,6348675,6096047,252628,237667,897477,2939043,6274255,5914528,359727,1148050,1281629,,,,,,,,,,,,
"G080","1990","Colorado","08","080","Colorado",373157,742483,719838,22645,23473,116326,287612,743243,713723,29520,118193,156528,,,,,,,,,,,,
"G090","1990","Connecticut","09","090","Connecticut",412921,739187,721256,17931,33892,83569,357734,742707,715165,27542,163081,122292,,,,,,,,,,,,
"G100","1990","Delaware","10","100","Delaware",76997,149973,144634,5339,6760,18175,68503,150309,143261,7048,31351,25272,,,,,,,,,,,,
"G110","1990","District Of Columbia","11","110","District of Columbia",118273,87306,74446,12860,8428,18982,123762,88488,71767,16721,35180,27815,,,,,,,,,,,,
"G120","1990","Florida","12","120","Florida",1336469,3082684,2978060,104624,156680,451167,1046893,3084722,2946432,138290,758011,609231,,,,,,,,,,,,
"G130","1990","Georgia","13","130","Georgia",716125,1439894,1385724,54170,52429,196473,601461,1447597,1366067,81530,306707,271429,,,,,,,,,,,,
"G150","1990","Hawaii","15","150","Hawaii",152188,248386,241961,6425,9053,31793,106715,244799,237260,7539,38530,38739,,,,,,,,,,,,
"G160","1990","Idaho","16","160","Idaho",91380,237525,233241,4284,7312,31146,66935,236258,230861,5397,38831,36940,,,,,,,,,,,,
"G170","1990","Illinois","17","170","Illinois",1395167,2474607,2400965,73642,114145,298975,1184564,2477596,2371559,106037,581341,422979,,,,,,,,,,,,
"G180","1990","Indiana","18","180","Indiana",569459,1268941,1244234,24707,50574,175688,481644,1272465,1239148,33317,274357,235399,,,,,,,,,,,,
"G190","1990","Iowa","19","190","Iowa",281081,656858,646925,9933,27309,68712,232630,658571,645153,13418,154259,90577,,,,,,,,,,,,
"G200","1990","Kansas","20","200","Kansas",244866,585864,576018,9846,22096,72069,189997,581241,568367,12874,122731,94866,,,,,,,,,,,,
"G210","1990","Kentucky","21","210","Kentucky",361278,871978,852041,19937,36071,109544,293241,873810,845105,28705,200233,147526,,,,,,,,,,,,
"G220","1990","Louisiana","22","220","Louisiana",464285,892014,846574,45440,42270,105147,409309,905705,839644,66061,216577,149196,,,,,,,,,,,,
"G230","1990","Maine","23","230","Maine",126930,287910,282450,5460,12311,37853,106076,286893,279480,7413,60977,50171,,,,,,,,,,,,
"G240","1990","Maryland","24","240","Maryland",587368,1066185,1005874,60311,44219,116750,516498,1077126,996559,80567,216413,169554,,,,,,,,,,,,
"G250","1990","Massachusetts","25","250","Massachusetts",832633,1273184,1234262,38922,63724,135653,765274,1287900,1226969,60931,311956,207500,,,,,,,,,,,,
"G260","1990","Michigan","26","260","Michigan",1078995,2015282,1957748,57534,88226,275685,931043,2031579,1949364,82215,433615,379701,,,,,,,,,,,,
"G270","1990","Minnesota","27","270","Minnesota",504483,985981,968552,17429,36176,108737,420836,987634,965381,22253,193619,141696,,,,,,,,,,,,
"G280","1990","Mississippi","28","280","Mississippi",275422,545992,523346,22646,27747,64654,245289,554540,520306,34234,150004,88980,,,,,,,,,,,,
"G290","1990","Missouri","29","290","Missouri",516097,1178576,1145683,32893,50859,150575,440593,1185687,1140049,45638,280906,205205,,,,,,,,,,,,
"G300","1990","Montana","30","300","Montana",79234,186723,183139,3584,7466,26081,57335,187117,182569,4548,36750,30826,,,,,,,,,,,,
"G310","1990","Nebraska","31","310","Nebraska",162919,366215,360376,5839,14891,39109,132954,366625,358912,7713,81161,51121,,,,,,,,,,,,
"G320","1990","Nevada","32","320","Nevada",135767,268566,257576,10990,11204,66315,89055,264789,252578,12211,42131,70219,,,,,,,,,,,,
"G330","1990","New Hampshire","33","330","New Hampshire",120673,260469,254446,6023,9653,31726,101572,261146,253517,7629,45976,41106,,,,,,,,,,,,
"G340","1990","New Jersey","34","340","New Jersey",970980,1747960,1682667,65293,86408,159214,842911,1760170,1665946,94224,412403,243478,,,,,,,,,,,,
"G350","1990","New Mexico","35","350","New Mexico",161891,327955,319304,8651,12842,49720,131144,328570,316691,11879,58273,66105,,,,,,,,,,,,
"G360","1990","New York","36","360","New York",2432069,3804860,3616992,187868,199610,360680,2200191,3874584,3572086,302498,967501,577013,,,,,,,,,,,,
"G370","1990","North Carolina","37","370","North Carolina",726858,1581394,1502867,78527,61149,163412,603374,1581108,1477434,103674,352110,223816,,,,,,,,,,,,
"G380","1990","North Dakota","38","380","North Dakota",74201,148509,146856,1653,5663,13526,52711,148021,145905,2116,31525,15947,,,,,,,,,,,,
"G390","1990","Ohio","39","390","Ohio",1156250,2436833,2378585,58248,109520,321873,1013457,2452698,2370633,82065,556165,453213,,,,,,,,,,,,
"G400","1990","Oklahoma","40","400","Oklahoma",291237,744454,726881,17573,29341,105446,220159,744704,720749,23955,165735,141972,,,,,,,,,,,,
"G410","1990","Oregon","41","410","Oregon",292169,660657,641992,18665,25266,105009,222695,660289,636602,23687,127945,135730,,,,,,,,,,,,
"G420","1990","Pennsylvania","42","420","Pennsylvania",1376014,2707088,2607500,99588,147096,264129,1232919,2727635,2592865,134770,716548,369694,,,,,,,,,,,,
