"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","clay.pct","gravel.pct","sand.pct","year.min","year.max","year.median","year.mean","end.pb","cs.peak","n.years","n.cm","accretion.rate.cmyr","century","N.P.ratio","C.N.ratio","Si.P.ratio","P.total.pct.e2","N.storage","median.grainsize.phi","accretion.rate.gcm2yr"
"North",42,0.320314756265762,3.48,8.60986610125605,-19.86,4.68568665377176,-19.72,0.011062867,0.017985497,0.00692263,194.807998133333,6.36151328923676,50.87,0.55,26.5,71.1488888888889,0,28.85,1744.9,1798.8,1769.4,1770,NA,NA,6.09999999999991,1,0.163934426229511,"1800",17.8096138386258,26.879392637511,353.702390833946,1.7985497,0.0422815478270806,4.7279204545632,0.0901639344262309
"North",46,0.294064375882307,3.55,6.14222390163109,-19.77,4.11620188784966,-19.85,0.010469799,0.022964468,0.012494669,196.0194112,6.59754126392513,49.67,0.57,24.1,74.4988888888889,0,25.5066666666667,1724.4,1771.1,1744.3,1745.1,NA,NA,6.20000000000005,1,0.161290322580644,"1700",12.8051899953575,20.8873444231456,287.293451079517,2.2964468,0.0402280066206996,4.5909612413426,0.0919354838709671
"North",50,0.281481770937144,3.5,8.42940735876331,-20.88,4.22616471945767,-20.76,0.009508236,0.016077868,0.006569631,204.298234933333,5.51015347167173,49.16,0.53,25.3,72.9544444444444,0,27.0388888888889,1706.2,1745.4,1717.7,1720,NA,NA,6.29999999999995,1,0.15873015873016,"1700",17.5074065129247,29.9465479796403,342.716675598514,1.6077868,0.0358044812632047,4.66106547980695,0.0841269841269847
"South",0,0.561428189915147,8.245,6.51104353531855,-21.135,6.36905457371434,-21.07,0.015738945,0.037141547,0.021402602,305.695651466667,10.3373517409433,67.68,NA,54.8,57.1488888888889,0.0711111111111111,42.7622222222222,1968.9,1978.8,1973.4,1973.5,NA,NA,4.20000000000005,1,0.238095238095236,"2000",15.1159075284383,11.5972864424614,278.323133415615,3.7141547,NA,5.77610398807316,NA
"South",1,0.427604305233961,7.85,4.92401808217961,-20.575,4.88423159985383,-20.62,0.012539343,0.024584566,0.012045223,279.394129466667,9.1772220332743,62.37,0.45,36.3,68.3822222222222,0,31.61,1966,1974.5,1969.9,1970,NA,NA,3.5,1,0.285714285714286,"2000",17.3932012968608,11.5153613326823,373.292009030149,2.4584566,0.0461812649652678,5.18189764310839,0.128571428571429
"South",2,0.400981735978648,7.79,4.79532313027963,-20.79,4.69747288792115,-20.78,0.04873971,0.0203757,-0.02836401,253.254122533333,8.34134728472071,59.59,0.4,41.6,63.3522222222222,0,36.6355555555556,1962.8,1969.4,1965.8,1965.9,NA,TRUE,4.09999999999991,1,0.243902439024396,"2000",19.6794090990075,11.9589564810877,409.377213284486,2.03757,0.0384942466539502,5.37851162325373,0.0975609756097583
"South",3,0.376360459532796,7.845,4.5829877698819,-20.775,4.5117297166338,-20.77,0.010987877,0.026087467,0.015099589,275.181620266667,9.06555498248408,58.45,0.4,38.8,66.3266666666667,0,33.6766666666667,1956.1,1963.2,1959.9,1959.8,NA,NA,6.10000000000014,1,0.163934426229505,"2000",14.4268686389827,12.1771234299456,347.506140879223,2.6087467,0.0361306041151484,5.27798474729977,0.0655737704918018
"South",4,0.349924361697753,7.875,4.29435754210357,-20.6,4.28590083619403,-20.66,0.014772569,0.025601701,0.010829132,268.7943152,8.52517962045917,68.1,0.47,44.8,60.3822222222222,0.0277777777777778,39.5988888888889,1944,1958.5,1952.7,1952.3,NA,NA,7.5,1,0.133333333333333,"2000",13.6680122034764,12.2722451253989,332.992703119967,2.5601701,0.0394714679995065,5.48542682717024,0.0626666666666667
"South",6,0.348675005438953,7.845,4.19673170456665,-20.405,4.15848421785358,-20.46,0.011441211,0.031744737,0.020303526,258.628679066667,8.48599330667347,55.74,0.46,34.6,67.6477777777778,0,32.3633333333333,1926,1949.3,1940,1939.4,NA,NA,6.39999999999986,1,0.156250000000003,"1900",10.9837106364735,12.0362275445678,267.319691660179,3.1744737,0.0384937206004604,5.11270013274936,0.0718750000000015
"South",8,0.327068779809529,7.77,3.95661544938574,-20.405,3.76674383147082,-20.35,0.016835122,0.026659482,0.009824359,237.8254784,8.07929672241459,56.58,0.5,25.6,73.6277777777778,0,26.3733333333333,1907.6,1939.4,1925.5,1925.1,NA,NA,7.20000000000005,1,0.138888888888888,"1900",12.2683846523923,12.0971969617213,303.055277758757,2.6659482,0.0392482535771435,4.67807190511264,0.069444444444444
"South",10,0.276668167138999,7.425,3.46000682167581,-20.44,3.37018420066659,-20.38,0.011502233,0.021714032,0.0102118,231.176224533333,7.56789146495809,53.24,0.52,32,68.8255555555556,0,31.1666666666667,1888.5,1930.2,1911.6,1911,NA,NA,6.90000000000009,1,0.144927536231882,"1900",12.7414460446129,12.5059809281835,348.525389709202,2.1714032,0.0345281872589471,5,0.0753623188405787
"South",12,0.256841398162835,7.42,3.16290723536559,-20.115,3.09036614900526,-20.41,0.015832805,0.019563524,0.003730719,238.912726133333,7.46173729843831,53.45,0.54,24.6,76.0066666666667,0,23.9833333333333,1873.1,1921,1898.9,1898.7,NA,NA,6,1,0.166666666666667,"1900",13.128585533099,12.3146317454647,381.410695661902,1.9563524,0.0332866452019035,4.62058641045188,0.09
